Species,Species_Name,a,b,c,top_10_a,top_10_b,Branch_s,Branch_m,Branch_l,Foliage_s,Foliage_m,Foliage_l,top_20_a,top_20_b,Bark_a,Bark_b,bark_top10_a,bark_top10_b,bark_top20_a,bark_top20_b,Density,local_name
1,Abies Spp,-2.4453,1.722,1.0757,5.4443,-2.6902,0.44,0.37,0.36,0.25,0.14,0.11,9.0316,-3.1527,-0.0552,-0.4804,-0.0615,-0.4786,-0.8747,-0.2661,480,fir
2,Acacia Catechu,-2.3256,1.6476,1.0552,5.4401,-2.491,0.4,0.4,0.4,0.07,0.05,0.04,8.3845,-2.8693,0.0368,-0.4852,0.2306,-0.553,-0.0687,-0.4719,960,khair
3,Adina Cordifolia,-2.5626,1.8598,0.8783,5.4681,-2.4398,0.4,0.4,0.4,0.07,0.05,0.04,7.6404,-2.6695,-0.4428,-0.25,-0.1764,-0.3302,-0.1772,-0.3322,670,haldu
4,Albizia Spp.,-2.4284,1.7609,0.9662,4.4031,-2.2094,0.4,0.4,0.4,0.07,0.05,0.04,7.9419,-2.7343,0.3809,-0.5361,0.7955,-0.6634,0.7744,-0.6586,673,siris
5,Alnus Nepalensis,-2.7761,1.9006,0.9428,6.019,-2.7271,0.8,1.23,1.51,0.17,0.09,0.06,7.8979,-2.7867,-1.3593,-0.2015,-1.4088,-0.2123,-1.4061,-0.2124,390,uttis
6,Anogeissus Latifolia,-2.272,1.7499,0.9174,4.9502,-2.3353,0.4,0.4,0.4,0.07,0.05,0.04,7.7573,-2.6716,-0.2512,-0.6053,-0.3033,-0.5919,-0.5284,-0.535,880,banjhi
7,Bombax Ceiba,-2.3865,1.7414,1.0063,4.5554,-2.3009,0.4,0.4,0.4,0.07,0.05,0.04,6.4019,-2.3873,1.0876,-0.6846,1.1938,-0.7262,1.1557,-0.7155,368,"Silk Cotton Tree, Simal Tree"
8,Cedrela Toona,-2.1832,1.8679,0.7569,4.9705,-2.3436,0.4,0.4,0.4,0.07,0.05,0.04,7.3734,-2.5998,0.33,-0.4853,0.3475,-0.4968,0.5925,-0.5622,480,tuni
9,Dalbergia Sissoo,-2.1959,1.6567,0.9899,4.358,-2.1559,0.68,0.68,0.68,0.01,0.01,0.01,6.8821,-2.44,-0.0408,-0.4218,-0.1498,-0.3802,0.4042,-0.5267,780,sisoo
10,Eugenia jambolana ,-2.5693,1.8816,0.8498,5.1749,-2.3636,0.4,0.4,0.4,0.07,0.05,0.04,7.6807,-2.6648,-0.1451,-0.3617,0.2571,-0.4715,0.2314,-0.4654,770,jamun
11,Hymenodictyon Excelsum,-2.585,1.9437,0.7902,5.5572,-2.496,0.4,0.4,0.4,0.07,0.05,0.04,6.825,-2.4603,0.4405,-0.4755,0.4562,-0.489,0.3869,-0.4728,513,kuda
12,Lagerstroemia Parviflora,-2.3411,1.7246,0.9702,5.3349,-2.4428,0.4,0.4,0.4,0.07,0.05,0.04,7.2637,-2.5282,0.6336,-0.6531,0.7698,-0.7061,0.5828,-0.6588,850,botdhayero
13,Michelia Champaca,-2.0152,1.8555,0.763,3.3499,-2.0161,0.4,0.4,0.4,0.07,0.05,0.04,6.7852,-2.4567,-0.1672,-0.4535,0.0244,-0.5005,0.2137,-0.5466,497,chamnp
14,Pinus Roxburghii,-2.977,1.9235,1.0019,6.2696,-2.8252,0.19,0.26,0.3,0.1,0.05,0.03,8.5662,-3.0486,1.1876,-0.7029,1.1763,-0.6997,1.2535,-0.7194,650,khotesallo
15,Pinus Wallichiana,-2.8195,1.725,1.1623,5.7216,-2.6788,0.68,0.49,0.41,0.4,0.24,0.18,8.1696,-2.8862,0.2438,-0.6214,0.4925,-0.6517,1.6781,-0.9544,400,ranisallo
16,Quercus Spp,-2.36,1.968,0.7469,4.8511,-2.4494,0.75,0.96,1.06,0.23,0.22,0.2,7.0779,-2.5739,-0.4146,-0.4193,-0.4224,-0.4184,0.3842,-0.6149,860,"khasru, baanjh"
17,Schima Wallichii,-2.7385,1.8155,1.0072,7.4617,-3.0676,0.52,0.19,0.17,0.06,0.04,0.03,8.5074,-2.8908,0.9782,-0.5657,0.8683,-0.5659,1.0878,-0.6197,689,chilaune
18,Shorea Robusta,-2.4554,1.9026,0.8352,5.2026,-2.4788,0.06,0.34,0.36,0.06,0.07,0.07,8.156,-2.8365,0.1372,-0.4182,0.1448,-0.4202,0.1672,-0.4271,880,sal
19,Terminalia Tomentosa,-2.4616,1.8497,0.88,4.5968,-2.2305,0.4,0.4,0.4,0.07,0.05,0.04,7.4095,-2.6093,0.0572,-0.4114,0.0672,-0.4154,0.1515,-0.4299,950,saaj
20,Trewia Nudiflora,-2.4585,1.8043,0.922,5.3475,-2.4774,0.4,0.4,0.4,0.07,0.05,0.04,7.448,-2.6313,-0.4918,-0.4689,-0.857,-0.3503,-0.6019,-0.4163,352,gutel
21,Tsuga Spp,-2.5293,1.7815,1.0369,5.2774,-2.6483,0.44,0.37,0.36,0.25,0.14,0.11,7.5935,-2.7629,-0.2186,-0.4796,-0.2181,-0.4797,-0.3266,-0.4464,450,hemlock
22,Miscellaneous In Terai,-2.3993,1.7836,0.9546,4.8991,-2.3406,0.4,0.4,0.4,0.07,0.05,0.04,6.7548,-2.4589,0.1634,-0.5581,0.1772,-0.5617,0.551,-0.6544,674,
23,Miscellaneous In Hill,-2.3204,1.8507,0.8223,5.5323,-2.4815,0.4,0.4,0.4,0.07,0.05,0.04,7.0759,-2.5336,-0.3878,-0.3159,-0.3796,-0.3188,0.4031,-0.5321,674,
